course_number|course_subject|course_name|course_desc|course_link
635|CHEM|Interfacial Phenomena|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
651|CHEM|Nanochemistry|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
676|CHEM|Structure and Function of Biomembranes|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
678|CHEM|Protein Engineering and Design|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
690|CHEM|Selected Topics in Instrumentation|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
667|CHEM|PhD Literature/Topic Seminar|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
668|CHEM|PhD Research Seminar|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
856|CHEM|Doctoral Research and Thesis (72 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
896|CHEM|Research Proposal and Comprehensive Examination (9 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
655|CHEM|Master's Research and Thesis (33 credits);|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
612|CHEM|Analytical Separations|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-msc.html
623|CHEM|Organic Synthesis|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
626|CHEM|Reactive Intermediates|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
635|CHEM|Interfacial Phenomena|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
651|CHEM|Nanochemistry|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
676|CHEM|Structure and Function of Biomembranes|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
678|CHEM|Protein Engineering and Design|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
690|CHEM|Selected Topics in Instrumentation|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-phd.html
601|SPAN|Discourse Analysis and Research Methods (3 credits)| This course is designed to provide both a broad theoretical introduction and concrete practice in the research and analysis of literary and cultural texts. Students consider, critique, and incorporate theory and criticism into the articulation and elaboration of an analytical essay. They also implement fundamental research practices such as performing bibliographical searches and documentation; implementing narrative, argumentative, and persuasive rhetorical strategies; and, finally, developing a rigorously defended and coherent argument.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/chem-msc.html
605|SPAN|Independent Study (3 credits)| Under the supervision of a faculty member, the student undertakes research in a defined topic related to the studentâ€™s interest and the faculty memberâ€™s field of specialization. A final research paper is required.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/span.html
681|SPAN|Research Seminar (3 credits)| Students meet with peers and faculty for discussion and presentation of their current research.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/span.html
698|SPAN|Topics in Current Research (3 credits)| When offered, content will depend on the theme designated by the program.Students may re-register for this course, provided that the course content has changed. Change in content will be indicated by the letter following the course number.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/span.html
694|SPAN|Thesis Proposal (3 credits)| Under the supervision of a thesis supervisor, the student writes a proposal presenting a research topic, whose overall goal is to demonstrate that the student is capable of undertaking an independent research project. In the proposal, the student provides: 1) the linguistic, cultural or literary phenomenon or corpus to be studied; 2) a critical and theoretical framework for the study; and 3) a preliminary bibliography. This proposal is submitted to the thesis director and Graduate Program Director for consideration.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/span.html
695|SPAN|Thesis (24 credits)| The thesis consists of the formulation and presentation of the research results. Each thesis is examined by a committee consisting of the studentâ€™s supervisor and at least two other scholars from the department and/or scholars from relevant disciplines in other departments or institutions.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/span.html
682|SPAN|Research Paper I (12 credits)| Under the supervision of a faculty member, students undertake a substantial research project, to be completed by the preparation of a research paper.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/span.html
683|SPAN|Research Paper II (15 credits)| Under the supervision of a faculty member, students undertake a research project, to be completed by the preparation of a research paper.|https://www.concordia.ca/academics/graduate/calendar/current/fasc/span.html
800|COMS|Integrative Seminar (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/span.html
835|COMS|Doctoral Pro-Seminar (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
805|COMS|Research Workshop (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
822|COMS|Advanced Seminar in Research Methods I (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
823|COMS|Advanced Seminar in Research Methods II (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
841|COMS|Cultural Industries (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
842|COMS|Media Reception (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
843|COMS|Communication Policy (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
844|COMS|Uses of Information and Communication Technologies (ICTs) (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
851|COMS|Speech Communication (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
853|COMS|Discourse and Representation (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
854|COMS|Discourse within Social Formations (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
861|COMS|Organizational Culture (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
864|COMS|Communication and Change in Organizations (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
873|COMS|Identities and Cultural Exchange (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
874|COMS|Globalization of Communication (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
875|COMS|Technology and Organization (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
876|COMS|Media Technology as Practice (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
877|COMS|International Communication and Development (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
878|COMS|Communication, Conflict and Peace (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
879|COMS|Human-Computer Interactions (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
880|COMS|Communication Networks and Organization (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
882|COMS|Communication, Democracy and Power (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
883|COMS|History and Historiography of Media and Culture (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
884|COMS|Cultural Theory in Communication Studies (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
885|COMS|Popular Culture (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
886|COMS|Alternative Media (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
887|COMS|Strategies and Styles in Communication (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
888|COMS|Discourses of the Body (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
891|COMS|Communication Technologies and Society (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
893|COMS|Advanced Seminar in Special Topics in the PhD in Communication (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
815|COMS|Doctoral Examination (3 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
890|COMS|Doctoral Thesis Proposal (6 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
896|COMS|Doctoral Thesis Research (63 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-phd.html
605|COMS|Media Research Methods I|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
606|COMS|Media Research Practicum|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
608|COMS|History of Media|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
610|COMS|Media Studies Seminar|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
614|COMS|News and Public Affairs|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
622|COMS|Media Law|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
624|COMS|Media Management|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
627|COMS|Political Economy of Communication|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
632|COMS|Media and Contemporary Culture|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
634|COMS|International Communication|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
635|COMS|Feminist Theory and Media|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
636|COMS|Ethics and Media|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
640|COMS|Directed Study|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
642|COMS|Special Topics in Media Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
644|COMS|Media Policy|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
646|COMS|Alternative Media|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
652|COMS|The Canadian Documentary|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
656|COMS|Forms and Genres in Communication|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
660|COMS|Definitions and Futures of Media and Technology|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
662|COMS|Theories of Representation and Interpretation in Communication|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
684|COMS|Media Research Laboratory|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
694|COMS|Thesis/Research-Creation Thesis Proposal|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
695|COMS|Thesis (21 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
697|COMS|Research-Creation Thesis (21 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
698|COMS|Major Research Paper (15 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-ma.html
506|COMS|In the Field: Methods in Communication Studies and Practice|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
510|COMS|Graduate Diploma Seminar|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
562|COMS|Media Production: Sound|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
569|COMS|Media Production: Moving Images|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
570|COMS|Media Production: Intermedia|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
507|COMS|Advanced Scriptwriting for Media|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
512|COMS|Discourses of Dissent|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
513|COMS|Cultures of Production|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
514|COMS|Production Administration|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
516|COMS|Advanced Topics in Documentary Film and Video|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
519|COMS|Communications and Indigenous Peoples|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
521|COMS|Communication Technologies and Gender|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
524|COMS|Alternative Media|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
525|COMS|Media Forecast|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
532|COMS|Communication, Culture and Popular Art|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
534|COMS|Advanced Topics in Film Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
537|COMS|Race, Ethnicity and Media|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
540|COMS|Acoustic Communication and Design|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
541|COMS|Sexuality and Public Discourse|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
542|COMS|Advanced Topics in the Photographic Image|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
544|COMS|Reception Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
545|COMS|Television Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
547|COMS|International Communication|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
553|COMS|Communication Ethics|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
561|COMS|Communicative Performances and Interventions|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
580|COMS|Selected Topics in Communication Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
583|COMS|Internship in Communication Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
585|COMS|Directed Study in Communication Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
586|COMS|Directed Study in Communication Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
598|COMS|Advanced Topics in Communication Studies|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
805|ECON|Doctoral Comprehensive Examination (6 credits)|No Description|https://www.concordia.ca/academics/graduate/calendar/current/fasc/coms-dip.html
